url,fid,name,nick,birth_date,height,weight,association,class,locality,country,base_style,num_wins,num_losses,total_fights,win_rate
/fighter/paul-georgieff-11408,11408,paul georgieff,,9/22/1982,,155.0,,lightweight,"st. paul, minnesota",usa,bjj,6,2,8,0.75
/fighter/joe-vedepo-15833,15833,joe vedepo,the doctor,1/1/1982,72.0,185.0,,middleweight,"cedar rapids, iowa",usa,wrestling,18,10,28,0.6428571428571429
/fighter/crafton-wallace-8269,8269,crafton wallace,,4/15/1972,72.0,184.0,inferno mma,middleweight,"naples, florida",usa,karate,18,6,24,0.75
/fighter/tom-murphy-12284,12284,tom murphy,,11/19/1974,74.0,205.0,tristar gym,light heavyweight,"st. albans, vermont",usa,mma,8,0,8,1.0
/fighter/yusuke-kasuya-63414,63414,yusuke kasuya,,11/16/1989,67.0,154.0,akimoto dojo jungle junction,lightweight,"sagamihara, kanagawa",japan,mma,9,5,14,0.6428571428571429
/fighter/tiki-ghosn-88,88,tiki ghosn,,2/9/1977,70.0,169.0,,welterweight,"huntington beach, california",usa,muay thai,10,7,17,0.5882352941176471
/fighter/brad-gumm-240,240,brad gumm,,,71.0,170.0,gumm mixed martial arts,welterweight,"littleton, colorado",usa,bjj,10,6,16,0.625
/fighter/andre-roberts-194,194,andre roberts,the chief,2/24/1965,74.0,345.0,,super heavyweight,"tama, iowa",usa,wrestling,14,2,16,0.875
/fighter/dan-evensen-10584,10584,dan evensen,,,,,,,,norway,boxing,11,4,15,0.7333333333333333
/fighter/greg-soto-19080,19080,greg soto,,6/3/1986,71.0,170.0,pellegrino mma,welterweight,"oakhurst, new jersey",usa,bjj,9,4,13,0.6923076923076923
/fighter/ross-pointon-6541,6541,ross pointon,the gladiator,,68.0,205.0,,light heavyweight,,england,mma,6,17,23,0.2608695652173913
/fighter/paulo-santos-204,204,paulo santos,,,,,team bronx,,,,bjj,0,3,3,0.0
/fighter/rodrigo-ruas-1562,1562,rodrigo ruas,,,,185.0,ruas vale tudo,middleweight,,brazil,vale tudo,4,5,9,0.4444444444444444
/fighter/jason-tan-12369,12369,jason tan,,,70.0,170.0,,welterweight,liverpool,england,kickboxing,5,3,8,0.625
/fighter/tom-breese-45986,45986,tom breese,,9/26/1991,75.0,170.0,tristar gym,welterweight,"birmingham, west midlands",england,wrestling,11,1,12,0.9166666666666666
/fighter/david-hood-1720,1720,david hood,,,72.0,189.0,,light heavyweight,"lowell, massachusetts",usa,kung fu,1,3,4,0.25
/fighter/bobby-southworth-551,551,bobby southworth,,12/16/1969,73.0,228.0,american kickboxing academy,heavyweight,"santa cruz, california",usa,bjj,10,6,16,0.625
/fighter/luiz-jorge-dutra-jr-8121,8121,luiz jorge dutra jr.,besouro,5/6/1982,71.0,170.0,renovacao fight team,welterweight,"rio de janeiro, rio de janeiro",brazil,mma,13,7,20,0.65
/fighter/mickey-gall-160145,160145,mickey gall,,1/22/1992,,170.0,miller brothers mma,welterweight,"new brunswick, new jersey",usa,boxing,5,1,6,0.8333333333333334
/fighter/jules-bruchez-41539,41539,jules bruchez,cotton mouth from the south,8/16/1977,72.0,184.0,gladiator la,middleweight,"lafayette, louisiana",usa,mma,1,2,3,0.3333333333333333
/fighter/jason-reinhardt-2347,2347,jason reinhardt,,10/31/1969,66.0,135.0,wand fight team,bantamweight,"decatur, illinois",usa,bjj,20,3,23,0.8695652173913043
/fighter/jesse-sanders-16098,16098,jesse sanders,,,73.0,170.0,,welterweight,"oskaloosa, iowa",usa,bjj,23,7,30,0.7666666666666667
/fighter/justin-martin-150,150,justin martin,the reaper,,72.0,205.0,,light heavyweight,"dallas, texas",usa,bjj,4,3,7,0.5714285714285714
/fighter/kit-cope-67,67,kit cope,,3/17/1977,72.0,167.0,twisted genetiks,welterweight,"las vegas, nevada",usa,muay thai,6,7,13,0.46153846153846156
