fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
rich franklin,nate quarry,31.0,33,73.0,72.0,0.7095609026396921,0.6741460982298678,1.274193758222465,1.274193758222465,0.7440580190442426,0.900732763604033,0.8055555555555556,0.75,36,16,1
demian maia,jake shields,36.0,34,72.0,72.0,0.725633817347123,0.6976502119172276,0.847999030848203,1.274193758222465,0.8781995850704947,0.9340826698197278,0.7352941176470589,0.75,34,44,-1
john hathaway,pascal krauss,25.0,25,74.0,73.0,0.7743991633626994,0.8469017893101662,0.7161993241395903,0.7148740185764869,0.9340826698197278,0.7274917254889377,0.8947368421052632,0.8461538461538461,19,13,1
matt wiman,sam stout,26.0,25,70.0,69.0,0.7042904739239818,0.6078776322858618,1.274193758222465,0.7306421727422159,0.900732763604033,0.7468919244703861,0.6956521739130435,0.625,23,32,-1
valmir lazaro,michel richard cunha dos prazeres,30.0,32,72.0,66.0,0.785262088888584,0.8764958863126402,0.847999030848203,0.847999030848203,0.8781995850704947,0.8781995850704947,0.7083333333333334,0.9285714285714286,24,28,-1
forrest griffin,hector ramirez,28.0,31,75.0,72.0,0.7244721593929946,0.0,1.274193758222465,1.274193758222465,0.900732763604033,0.9340826698197278,0.7307692307692307,0.625,26,16,1
pat barry,lavar johnson,33.0,35,71.0,75.0,0.7422438294689604,0.6514958863126402,1.274193758222465,1.274193758222465,0.7468919244703861,0.900732763604033,0.5333333333333333,0.6428571428571429,15,28,-1
ivan salaverry,andrei semenov,31.0,25,72.0,72.0,0.6094435953302332,0.0,1.274193758222465,0.8398920709044124,0.9340826698197278,0.766074358823491,0.6086956521739131,0.7906976744186046,23,43,1
gan mcgee,tim sylvia,27.0,29,82.0,80.0,0.7229701653785423,0.7095609026396921,1.274193758222465,1.274193758222465,0.9340826698197278,0.7440580190442426,0.7222222222222222,0.7560975609756098,18,41,-1
riki fukuda,nick ring,30.0,32,72.0,72.0,0.668910496135627,0.6555771628022937,0.6958320965812744,0.7306421727422159,0.9340826698197278,0.7468919244703861,0.7272727272727273,0.7777777777777778,33,18,-1
rolles gracie,joey beltran,32.0,29,76.0,73.0,0.7084598237200639,0.5319979431563201,0.847999030848203,1.274193758222465,0.8781995850704947,0.7274917254889377,0.6666666666666666,0.53125,12,32,-1
jessica rakoczy,julianna pena,36.0,24,67.0,67.0,0.0,0.6746335636700567,0.7306421727422159,1.274193758222465,0.7274917254889377,0.8781995850704947,0.16666666666666666,0.7272727272727273,6,11,-1
michael mcdonald,edwin figueroa,20.0,27,68.0,67.0,0.8268348996780592,0.6779664745479344,1.274193758222465,1.274193758222465,0.7468919244703861,0.7468919244703861,0.8260869565217391,0.6428571428571429,23,14,1
marcus davis,jess liaudin,35.0,0,68.0,69.0,0.6604716775702262,0.6459092334789007,1.274193758222465,0.6501953683407987,0.7274917254889377,0.7461020623994898,0.6666666666666666,0.6451612903225806,33,31,1
