pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-fight-night-13-florian-vs-lauzon-6552,6552,5,ufc fight night 13 - florian vs. lauzon,ultimate fighting championship,4/2/2008,"broomfield event center, broomfield, colorado, united states",/fighter/ryan-roberts-19761,/fighter/marcus-aurelio-4833,ryan roberts,marcus aurelio,loss,win,19761,4833,submission,armbar,tim mills,1,0:16
/events/ufc-live-4-kongo-vs-barry-16309,16309,10,ufc live 4 - kongo vs. barry,ultimate fighting championship,6/26/2011,"consol energy center, pittsburgh, pennsylvania, united states",/fighter/rick-story-25989,/fighter/charlie-brenneman-23403,rick story,charlie brenneman,loss,win,25989,23403,decision,unanimous,mark matheny,3,5:00
/events/ufc-52-couture-vs-liddell-2-2930,2930,4,ufc 52 - couture vs. liddell 2,ultimate fighting championship,4/16/2005,"mgm grand garden arena, las vegas, nevada, united states",/fighter/georges-st-pierre-3500,/fighter/jason-miller-7798,georges st. pierre,jason miller,win,loss,3500,7798,decision,unanimous,,3,5:00
/events/ufc-33-victory-in-vegas-430,430,6,ufc 33 - victory in vegas,ultimate fighting championship,9/28/2001,"mandalay bay events center, las vegas, nevada, united states",/fighter/chuck-liddell-192,/fighter/murilo-bustamante-253,chuck liddell,murilo bustamante,win,loss,192,253,decision,unanimous,,3,5:00
/events/ufc-145-jones-vs-evans-20031,20031,4,ufc 145 - jones vs. evans,ultimate fighting championship,4/21/2012,"phillips arena, atlanta, georgia, united states",/fighter/anthony-njokuani-7540,/fighter/john-makdessi-37402,anthony njokuani,john makdessi,win,loss,7540,37402,decision,unanimous,herb dean,3,5:00
/events/ufc-67-all-or-nothing-4311,4311,5,ufc 67 - all or nothing,ultimate fighting championship,2/3/2007,"mandalay bay events center, las vegas, nevada, united states",/fighter/patrick-cote-6612,/fighter/scott-smith-2578,patrick cote,scott smith,win,loss,6612,2578,decision,unanimous,yves lavigne,3,5:00
/events/ufc-on-fox-10-henderson-vs-thomson-33335,33335,10,ufc on fox 10 - henderson vs. thomson,ultimate fighting championship,1/25/2014,"united center, chicago, illinois, united states",/fighter/stipe-miocic-39537,/fighter/gabriel-gonzaga-7306,stipe miocic,gabriel gonzaga,win,loss,39537,7306,decision,unanimous,herb dean,3,5:00
/events/ufc-180-werdum-vs-hunt-37549,37549,10,ufc 180 - werdum vs. hunt,ultimate fighting championship,11/15/2014,"mexico city arena, mexico city, federal district, mexico",/fighter/kelvin-gastelum-74700,/fighter/jake-ellenberger-13068,kelvin gastelum,jake ellenberger,win,loss,74700,13068,submission,rear-naked choke,john mccarthy,1,4:46
/events/ufc-28-high-stakes-38,38,6,ufc 28 - high stakes,ultimate fighting championship,11/17/2000,"trump taj mahal, atlantic city, new jersey, united states",/fighter/renato-sobral-274,/fighter/maurice-smith-175,renato sobral,maurice smith,win,loss,274,175,decision,unanimous,john mccarthy,3,5:00
/events/ufc-108-evans-vs-silva-11471,11471,9,ufc 108 - evans vs. silva,ultimate fighting championship,1/2/2010,"mgm grand garden arena, las vegas, nevada, united states",/fighter/dustin-hazelett-11481,/fighter/paul-daley-4270,dustin hazelett,paul daley,loss,win,11481,4270,ko,punches,herb dean,1,2:24
/events/ufc-163-aldo-vs-korean-zombie-28015,28015,8,ufc 163 - aldo vs. korean zombie,ultimate fighting championship,8/3/2013,"hsbc arena, rio de janeiro, brazil, brazil",/fighter/john-lineker-41906,/fighter/jose-maria-tome-37681,john lineker,jose maria tome,win,loss,41906,37681,tko,punches,leon roberts,2,1:03
/events/ufc-74-respect-5297,5297,5,ufc 74 - respect,ultimate fighting championship,8/25/2007,"mandalay bay events center, las vegas, nevada, united states",/fighter/patrick-cote-6612,/fighter/kendall-grove-10126,patrick cote,kendall grove,win,loss,6612,10126,tko,punches,herb dean,1,4:45
/events/ufc-fight-night-5-leben-vs-silva-3815,3815,7,ufc fight night 5 - leben vs. silva,ultimate fighting championship,6/28/2006,"hard rock hotel and casino, las vegas, nevada, united states",/fighter/rashad-evans-10200,/fighter/stephan-bonnar-3014,rashad evans,stephan bonnar,win,loss,10200,3014,decision,majority,,3,5:00
