pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/UFC-Fight-Night-4-Bonnar-vs-Jardine-3665,3665,1,UFC Fight Night 4 - Bonnar vs. Jardine,Ultimate Fighting Championship,4/6/2006,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",/fighter/Chael-Sonnen-4112,/fighter/Trevor-Prangley-4789,Chael Sonnen,Trevor Prangley,win,loss,4112,4789,Decision,Unanimous,,3,5:00
/events/UFC-27-Ultimate-Bad-Boyz-37,37,4,UFC 27 - Ultimate Bad Boyz,Ultimate Fighting Championship,9/22/2000,"Lakefront Arena, New Orleans, Louisiana, United States",/fighter/Alexandre-Dantas-264,/fighter/Yuki-Kondo-263,Alexandre Dantas,Yuki Kondo,loss,win,264,263,TKO,Punches,John McCarthy,3,2:28
/events/UFC-The-Ultimate-Fighter-12-Finale-14462,14462,7,UFC - The Ultimate Fighter 12 Finale,Ultimate Fighting Championship,12/4/2010,"Palms Casino Resort, Las Vegas, Nevada, United States",/fighter/Nam-Phan-5778,/fighter/Leonard-Garcia-2815,Nam Phan,Leonard Garcia,loss,win,5778,2815,Decision,Split,Herb Dean,3,5:00
/events/UFC-Fight-Night-65-Miocic-vs-Hunt-42195,42195,3,UFC Fight Night 65 - Miocic vs. Hunt,Ultimate Fighting Championship,5/10/2015,"Adelaide Entertainment Centre, Adelaide, South Australia, Australia",/fighter/Kailin-Curran-62703,/fighter/Alex-Chambers-65649,Kailin Curran,Alex Chambers,loss,win,62703,65649,Submission,Armbar,Steve Perceval,3,3:15
/events/UFC-The-Ultimate-Fighter-10-Finale-11054,11054,2,UFC - The Ultimate Fighter 10 Finale,Ultimate Fighting Championship,12/5/2009,"Palms Casino Resort, Las Vegas, Nevada, United States",/fighter/Dennis-Hallman-275,/fighter/John-Howard-11798,Dennis Hallman,John Howard,loss,win,275,11798,KO,Punches,Josh Rosenthal,3,4:55
/events/UFC-Fight-Night-63-Mendes-vs-Lamas-42187,42187,10,UFC Fight Night 63 - Mendes vs. Lamas,Ultimate Fighting Championship,4/4/2015,"Patriot Center, Fairfax, Virginia, United States",/fighter/Ricardo-Lamas-32051,/fighter/Chad-Mendes-38393,Ricardo Lamas,Chad Mendes,loss,win,32051,38393,TKO,Punches,Dan Miragliotta,1,2:45
/events/UFC-on-Fuel-TV-3-Korean-Zombie-vs-Poirier-20203,20203,4,UFC on Fuel TV 3 - Korean Zombie vs. Poirier,Ultimate Fighting Championship,5/15/2012,"Patriot Center, Fairfax, Virginia, United States",/fighter/TJ-Grant-15906,/fighter/Carlo-Prater-6767,T.J. Grant,Carlo Prater,win,loss,15906,6767,Decision,Unanimous,Mario Yamasaki,3,5:00
/events/UFC-on-FX-5-Browne-vs-Bigfoot-22541,22541,5,UFC on FX 5 - Browne vs. Bigfoot,Ultimate Fighting Championship,10/5/2012,"Target Center, Minneapolis, Minnesota, United States",/fighter/Aaron-Simpson-24986,/fighter/Mike-Pierce-25415,Aaron Simpson,Mike Pierce,loss,win,24986,25415,KO,Punches,Daryl Guthmiller,2,0:29
/events/UFC-Fight-Night-34-Saffiedine-vs-Lim-32999,32999,1,UFC Fight Night 34 - Saffiedine vs. Lim,Ultimate Fighting Championship,1/4/2014,"Marina Bay Sands, Marina Bay, Singapore, Singapore",/fighter/Russell-Doane-30054,/fighter/Leandro-Issa-19521,Russell Doane,Leandro Issa,win,loss,30054,19521,Technical,Submission (Triangle Choke,John Sharp,2,4:59
/events/UFC-121-Lesnar-vs-Velasquez-14039,14039,7,UFC 121 - Lesnar vs. Velasquez,Ultimate Fighting Championship,10/23/2010,"Honda Center, Anaheim, California, United States",/fighter/Gabriel-Gonzaga-7306,/fighter/Brendan-Schaub-33926,Gabriel Gonzaga,Brendan Schaub,loss,win,7306,33926,Decision,Unanimous,Jason Herzog,3,5:00
/events/UFC-44-Undisputed-1688,1688,6,UFC 44 - Undisputed,Ultimate Fighting Championship,9/26/2003,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",/fighter/Jorge-Rivera-2712,/fighter/David-Loiseau-903,Jorge Rivera,David Loiseau,win,loss,2712,903,Decision,Unanimous,,3,5:00
/events/UFC-21-Return-of-the-Champions-31,31,1,UFC 21 - Return of the Champions,Ultimate Fighting Championship,7/16/1999,"U.S. Cellular Center, Cedar Rapids, Iowa, United States",/fighter/Travis-Fulton-80,/fighter/David-Dodd-81,Travis Fulton,David Dodd,win,loss,80,81,Decision,Unanimous,John McCarthy,2,5:00
/events/UFC-Fight-Night-71-Mir-vs-Duffee-42215,42215,8,UFC Fight Night 71 - Mir vs. Duffee,Ultimate Fighting Championship,7/15/2015,"Valley View Casino Center, San Diego, California, United States",/fighter/Kevin-Lee-84342,/fighter/James-Moontasri-36889,Kevin Lee,James Moontasri,win,loss,84342,36889,Submission,Rear-Naked Choke,John McCarthy,1,2:56
/events/UFC-Fight-Night-10-Stout-vs-Fisher-2-5227,5227,4,UFC Fight Night 10 - Stout vs. Fisher 2,Ultimate Fighting Championship,6/12/2007,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Tamdan-McCrory-16470,/fighter/Pete-Spratt-3195,Tamdan McCrory,Pete Spratt,win,loss,16470,3195,Submission,Triangle Choke,Jorge Alonso,2,2:04
/events/UFC-168-Weidman-vs-Silva-2-31257,31257,6,UFC 168 - Weidman vs. Silva 2,Ultimate Fighting Championship,12/28/2013,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Uriah-Hall-14210,/fighter/Chris-Leben-6258,Uriah Hall,Chris Leben,win,loss,14210,6258,TKO,Retirement,Steve Mazzagatti,1,5:00
/events/UFC-174-Johnson-vs-Bagautinov-35505,35505,3,UFC 174 - Johnson vs. Bagautinov,Ultimate Fighting Championship,6/14/2014,"Rogers Arena, Vancouver, British Columbia, Canada",/fighter/Tae-Hyun-Bang-23167,/fighter/Kajan-Johnson-5615,Tae Hyun Bang,Kajan Johnson,win,loss,23167,5615,KO,Punch,John McCarthy,3,2:01
/events/UFC-48-Payback-2203,2203,7,UFC 48 - Payback,Ultimate Fighting Championship,6/19/2004,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",/fighter/Frank-Trigg-311,/fighter/Dennis-Hallman-275,Frank Trigg,Dennis Hallman,win,loss,311,275,TKO,Punches,,1,4:15
/events/UFC-98-Evans-vs-Machida-9529,9529,3,UFC 98 - Evans vs. Machida,Ultimate Fighting Championship,5/23/2009,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Andre-Gusmao-15806,/fighter/Krzysztof-Soszynski-9178,Andre Gusmao,Krzysztof Soszynski,loss,win,15806,9178,KO,Punches,Herb Dean,1,3:17
/events/UFC-Fight-Night-19-Diaz-vs-Guillard-10443,10443,4,UFC Fight Night 19 - Diaz vs. Guillard,Ultimate Fighting Championship,9/16/2009,"Cox Convention Center, Oklahoma City, Oklahoma, United States",/fighter/Jay-Silva-34408,/fighter/CB-Dollaway-22350,Jay Silva,C.B. Dollaway,loss,win,34408,22350,Decision,Unanimous,Leon Roberts,3,5:00
/events/UFC-139-Shogun-vs-Henderson-17551,17551,12,UFC 139 - Shogun vs. Henderson,Ultimate Fighting Championship,11/19/2011,"HP Pavillion, San Jose, California, United States",/fighter/Dan-Henderson-195,/fighter/Mauricio-Rua-5707,Dan Henderson,Mauricio Rua,win,loss,195,5707,Decision,Unanimous,Josh Rosenthal,5,5:00
